TIC,tess_eb_period,tess_eb_morph
185259483,0.310564,0.837
307990280,2.3159117,0.932
387178621,8.1871258,0.545
300560295,20.588776,0.044
318185328,0.3683055,0.745
363326796,11.3956206,0.16
73764693,0.139296,0.657
31273263,22.5729583,0.081
279955276,0.5768497,0.636
144167463,2.1466378,0.899
364325969,0.4198945,0.798
302038263,1.5472603,0.528
176983267,0.4180924,0.991
308751185,1.3616205,0.94
341550561,1.1057183,0.847
140757590,0.4184041,0.865
140084919,0.8450043,1.011
177118376,0.4112904,0.878
388179896,0.3098493,0.721
177308817,23.8960519,0.067
142013583,0.3220011,0.964
31415131,0.7896026,0.63
146530594,27.0879453,0.132
167719897,0.5133215,0.941
391906858,1.1471897,0.933
349911034,0.5384816,0.553
349642881,1.4735083,0.346
150101472,3.2785242,0.352
22221233,1.8623447,0.686
93997745,1.124485,0.905
177258700,0.6879647,0.811
189639080,3.1337762,0.162
382069441,5.4786639,0.615
349518145,8.2798747,0.15
289801742,1.3896275,0.63
106309554,1.1031609,0.638
468997317,3.7500535,0.325
167005326,0.7204063,0.689
321312438,1.1847683,0.507
450276745,1.266478,0.585
135244338,0.6149767,0.963
181226974,1.9353781,0.538
5981829,1.799076,0.607
293081694,1.2561019,0.659
457427613,1.2228117,0.599
167722431,0.5411687,0.689
167692491,0.4208575,0.973
294206967,2.7580575,0.483
228760807,0.7779784,0.511
295885511,5.0547566,0.475
38586438,1.1112853,0.368
398850090,13.1813342,0.107
73177813,8.8160188,0.608
30313682,5.7273674,0.422
308085294,4.3329138,0.807
300293197,13.1176103,0.443
364302118,1.3453456,0.56
272357134,4.1969492,0.497
318986273,3.1070197,0.532
261677352,1.1467472,0.873
355151781,1.5807272,0.978
276935987,4.2507272,0.663
349480507,1.5620192,0.552
72121778,6.0117788,0.162
390549095,1.8695387,0.644
300443831,0.8474457,0.883
167338355,0.2883619,0.748
294784522,0.4956179,0.848
347752831,2.164663,0.26
149473467,1.0948857,0.606
278822321,0.6391327,0.806
421191260,2.6857639,0.493
