TIC,toi,toi_tess_disp,toi_tfopwg_disp,toi_period
182943944,1017.01,,FP,1.10422
291555748,1018.01,,FP,4.95912
341420329,1019.01,,PC,5.2341008
149603524,102.01,,KP,4.4119372
140706664,1020.01,,FP,3.28892
143994283,1021.01,,FP,1.90879
47384844,1022.01,,FA,3.09574
238374636,1023.01,,FP,1.3214483
141482386,1024.01,,FP,18.0157
297967252,1025.01,,FP,9.6837908
388624270,1026.01,,FP,14.2628757
20318757,1027.01,,PC,3.2834565
20318757,1027.02,,PC,11.02875
20318757,1027.03,,PC,5.0113292
447283466,1028.01,,FP,1.01606
374908020,1029.01,,FP,36.22214
336732616,103.01,,KP,3.547854
464296022,1030.01,,FP,12.1246519
304021498,1031.01,,FP,5.652623
146589986,1032.01,,PC,5.6643704
149601557,1033.01,,FP,29.0161646
400595342,1034.01,,FP,3.6404389
361413119,1035.01,,PC,6.0744477
146172354,1036.01,,PC,3.7795212
363260203,1037.01,,FP,1.2025238
90544017,1038.01,,FP,3.2235985
461867584,1039.01,,APC,4.420125
231670397,104.01,,KP,4.0872956
310483807,1040.01,,FP,2.55555
385624852,1041.01,,FP,8.30792
360286627,1042.01,,FP,0.758082
90448944,1043.01,,FP,1.4415577
463402815,1044.01,,PC,1.0085089
54044474,1045.01,,FP,3.7039994
309787037,1046.01,,FP,1.3042553
370745311,1047.01,,FP,0.62627
384549882,1048.01,,FP,0.30412
16288184,1049.01,,KP,2.1805333
144065872,105.01,,KP,2.1846669
66818296,1050.01,,KP,3.7354838
259863352,1051.01,,FA,21.701669
317060587,1052.01,,CP,9.139804
112395568,1053.01,,FP,5.742625
366989877,1054.01,,CP,15.5077855
320004517,1055.01,,CP,17.4713078
421894914,1056.01,,PC,5.3079507
323132914,1057.01,,PC,51.1701501
31553893,1058.01,,FP,11.1296406
380783252,1059.01,,PC,9.4496542
38846515,106.01,,KP,2.8493827
101230735,1060.01,,APC,2.0685633
253990973,1061.01,,FP,0.540933
299799658,1062.01,,CP,4.1150527
406976746,1063.01,,PC,10.0665517
79748331,1064.01,,CP,6.4438657
79748331,1064.02,,CP,12.2265595
7088246,1065.01,,KP,2.1605155
201604954,1066.01,,KP,4.606184
201642601,1067.01,,KP,3.1316735
6663331,1068.01,,KP,3.180362
31858843,1069.01,,KP,2.9776446
92352620,107.01,,KP,3.9502008
31858844,1070.01,,FP,2.9776152
120247528,1071.01,,KP,3.5544026
140830390,1072.01,,FP,12.8379689
158297421,1073.01,,CP,3.9228016
327301957,1074.01,,PC,13.9428705
351601843,1075.01,,CP,0.6047392
50365310,1000.01,,FP,2.1713484
88863718,1001.01,,PC,1.9316462
124709665,1002.01,,FP,1.8675574
106997505,1003.01,,FP,2.74323
238597883,1004.01,,FP,3.5730141
169904935,1005.01,,FP,4.5505945
156115721,1006.01,,FP,2.5047918
65212867,1007.01,,PC,6.9989206
440801822,1008.01,,FP,2.0483755
107782586,1009.01,,PC,1.9600277
231663901,101.01,,KP,1.4303699
139853601,1010.01,,FP,0.6808702
114018671,1011.01,,PC,2.4705036
427508467,1012.01,,APC,0.884182
97700520,1013.01,,FP,5.4255548
96246348,1014.01,,FP,1.4095184
155044736,1015.01,,FP,1.3730466
175310067,1016.01,,FP,12.6889415
361034196,1090.01,,FP,2.19296
193413306,1091.01,,PC,1.725841
387079085,1092.01,,FP,1.1923
382331352,1093.01,,FP,11.47606
136274063,1094.01,,APC,0.5971314
375223080,1095.01,,PC,1.482138
375225453,1096.01,,FP,0.9209526
360630575,1097.01,,CP,9.188506
360630575,1097.02,,CP,13.9028391
383390264,1098.01,,CP,10.1826983
290348383,1099.01,,CP,6.441006
281459670,110.01,,KP,3.1743504
318608749,1100.01,,FP,20.0731588
271581073,1101.01,,FP,2.66903
311890977,1102.01,,FP,6.63371
351603103,1103.01,,PC,2.94308
451599528,1104.01,,FP,341.2791676
274151135,1105.01,,PC,10.8679798
384513078,1106.01,,PC,11.1149
394561119,1107.01,,CP,4.0782388
295599256,1108.01,,FP,7.1439527
50309953,1109.01,,FP,7.04083
355703913,111.01,,KP,2.1061569
446549905,1110.01,,FP,2.4545635
412014494,1111.01,,FP,11.4756978
369864738,1112.01,,FP,2.7817956
290348382,1113.01,,FP,6.4410082
409934330,1114.01,,APC,2.4887717
379286801,1115.01,,APC,4.45199
304100538,1116.01,,PC,5.0100708
295541511,1117.01,,PC,2.2281625
90919952,1118.01,,FP,4.13812
261369656,1119.01,,APC,10.95663
388104525,112.01,,KP,2.4997996
143257766,1120.01,,FP,1.66226
24094603,1121.01,,FP,4.07611
304774444,1122.01,,FP,3.6245513
469782185,1123.01,,APC,1.20928
128790976,1124.01,,APC,3.5187707
80166433,1125.01,,PC,0.7724825
405862830,1126.01,,FP,1.6268695
269450900,1127.01,,FP,2.32439
425721385,1128.01,,FP,13.5499
91576611,1129.01,,FP,4.43651
97409519,113.01,,KP,3.372877
254113311,1130.01,,CP,8.34998
254113311,1130.02,,CP,4.0686405
198213332,1131.01,,PC,0.5860366
267489265,1132.01,,FP,1.5502952
69997672,1133.01,,FP,1.80709
122220263,1134.01,,FP,18.6922101
154872375,1135.01,,CP,8.0277326
360742636,1076.01,,KP,2.5495611
369960846,1077.01,,PC,1.6062693
370133522,1078.01,,CP,0.5182425
379240073,1079.01,,PC,3.1644075
289793076,108.01,,KP,3.0440495
161032923,1080.01,,CP,3.9652485
253728991,1081.01,,PC,2.9840866
261108236,1082.01,,PC,16.3469053
322270620,1083.01,,PC,12.9802953
380589029,1084.01,,KP,1.3484961
381979901,1085.01,,APC,3.2541181
468148930,1086.01,,PC,3.7178828
426077080,1087.01,,FP,9.30992
343648136,1088.01,,FA,1.15395
129319156,1089.01,,FP,4.73703
29344935,109.01,,KP,2.76676
281541555,115.01,,KP,4.7423709
16740101,1150.01,,KP,1.4810903
69679391,1151.01,,KP,3.4741012
237184773,1152.01,,FA,6.5011911
154840461,1153.01,,APC,6.0360758
459970307,1154.01,,CP,21.745537
161450762,1155.01,,FP,1.32003
117256577,1156.01,,FP,1.6865822
147576037,1157.01,,FP,13.0727479
379931600,1158.01,,FP,2.9258727
48188920,1159.01,,FP,0.73774
238176110,116.01,,KP,2.7985802
89510024,1160.01,,FP,2.3664127
158324245,1161.01,,KP,1.7635881
13419950,1162.01,,PC,7.3166682
375542276,1163.01,,PC,3.0771612
16102323,1164.01,,FP,3.2077145
458478250,1165.01,,KP,2.2552845
138361973,1166.01,,FP,1.8824539
232967666,1167.01,,FP,15.196
41330864,1168.01,,FP,2.1358631
302518439,1169.01,,PC,6.7075429
322307342,117.01,,KP,3.5862962
294176967,1170.01,,FP,1.8296155
101929303,1171.01,,FP,11.1876137
1717732429,1172.01,,FP,7.8513949
232967440,1173.01,,CP,7.0643978
154089169,1174.01,,CP,8.9534775
30329585,1175.01,,FP,7.5022708
230088370,1176.01,,PC,14.0077666
169177766,1177.01,,FP,1.692892
359496368,1178.01,,FP,2.6652007
148914726,1179.01,,APC,1.2615323
266980320,118.01,,CP,6.0344634
158002130,1180.01,,CP,9.6867516
229510866,1181.01,,CP,2.1031647
341544930,1182.01,,FP,7.6416041
258777137,1183.01,,FP,5.9294088
233087860,1184.01,,CP,5.7484439
83210867,1185.01,,FP,1.1967018
289539327,1186.01,,FP,11.2464616
372757221,1187.01,,PC,2.5941968
15247229,1188.01,,FP,8.5112
112026224,1189.01,,PC,3.9687994
278683844,119.01,,PC,5.5411113
278683844,119.02,,PC,10.69173
287196418,1190.01,,APC,3.6950015
237185205,1191.01,,FP,15.7335693
158276040,1192.01,,APC,45.9403293
89643259,1193.01,,FP,2.2219839
147950620,1194.01,,CP,2.3106428
24364065,1195.01,,FP,4.0502651
69068526,1196.01,,PC,5.5376617
92677094,1197.01,,PC,4.5960377
203189770,1198.01,,KP,3.612771
99869022,1199.01,,CP,3.6714717
142276270,1136.01,,CP,12.5187279
142276270,1136.02,,CP,6.2586065
142276270,1136.03,,CP,26.3208756
142276270,1136.04,,CP,18.795547
89389197,1137.01,,PC,1.3206356
110428269,1138.01,,FP,0.6499595
202563254,1139.01,,PC,4.4780798
25155310,114.01,,KP,3.2887898
320525204,1140.01,,FP,13.7431084
159510109,1141.01,,FP,16.9487087
284450803,1142.01,,FP,3.3686634
160268701,1143.01,,FP,11.2071839
28230919,1144.01,,KP,4.8878037
350995812,1145.01,,FP,2.97164
21755546,1146.01,,FP,0.660179
288391628,1147.01,,FP,10.9278415
349827430,1148.01,,KP,5.5514888
117789567,1149.01,,APC,2.3202418
394137592,120.01,,CP,11.535076
288185138,1200.01,,FP,0.8352406
29960110,1201.01,,CP,2.4919771
327017634,1202.01,,FP,
23434737,1203.01,,CP,25.5195307
467666275,1204.01,,PC,1.3812115
287776397,1205.01,,PC,2.3922703
308034948,1206.01,,FP,0.831542
364393429,1207.01,,PC,2.6282553
273985865,1208.01,,PC,3.4239436
273985865,1208.02,,PC,10.983042
273985865,1208.03,,PC,17.726449
30037565,1209.01,,PC,40.7199388
207081058,121.01,,APC,14.7741056
33878688,1210.01,,FP,79.3739596
50312495,1211.01,,PC,18.1663644
389924075,1212.01,,PC,105.5850893
399144800,1213.01,,FP,27.2149622
451606970,1214.01,,PC,19.1806569
453260209,1215.01,,PC,1.2124446
141527965,1216.01,,PC,4.5541831
248092710,1217.01,,PC,41.4856125
294781547,1218.01,,PC,13.7739455
294981566,1219.01,,PC,1.9142693
231702397,122.01,,CP,5.0780325
319259194,1220.01,,APC,70.3607265
