target_TIC,nbr_TIC,nbr_Tmag,sep_arcsec,nbr_disposition
102334361,869954695,20.2264,3.5236979808570656,
102334361,869954679,19.058,11.136749473567221,
102334361,869954682,20.5959,14.991273345249102,
102334361,102334370,13.7461,15.302992977152803,
102334361,869954676,19.1383,15.435195172815039,
102334361,869954696,19.7491,22.281595589784615,
102334361,870279626,19.4046,22.877141790040504,
102334361,102334367,15.377,23.723506143585386,
102334361,869954675,18.5898,25.145240818468068,
102334361,869954678,18.5742,27.61701714219513,
102334361,869954692,18.114,28.242593960892822,
102334361,869954677,19.1917,30.35678732380051,
102334361,869954681,19.83,31.049770019284665,
102334361,870279632,18.8092,31.92568835046717,
102334361,870279624,18.5452,32.08243053123999,
102334361,102334351,16.2792,36.95119960842692,
102334361,869954687,19.7793,37.565086794846735,
102334361,869954688,19.8795,37.98701307614522,
102334361,869954683,18.5838,38.3419537449203,
102334361,870279639,19.9162,38.515530249154395,
102334361,102334369,17.5034,39.535583070510114,
102334361,869954691,18.8954,39.89998750640178,
102334361,870279637,19.4939,40.62521032200767,
102334361,102334349,14.9978,40.74331734299349,
102334361,102334348,17.8032,41.30465405501253,
102334361,869954693,19.9509,42.09333668130318,
102334361,102334366,17.9118,42.29615044422255,
102334361,869954697,20.4982,42.62788583586006,
102334361,102334359,16.9738,43.013815329275026,
102334361,869954698,20.6782,44.414653146759605,
102334361,102334350,15.9674,44.653257888077135,
102334361,102334383,16.1979,45.2439549899187,
102334361,870279628,20.596,46.54327057297407,
102334361,869954684,20.4426,49.12130027877667,
102334361,870279627,19.6985,49.88603010779388,
102334361,102334371,16.6088,49.99035437853819,
102334361,869954690,18.9277,50.67927689755314,
102334361,869954680,19.4853,51.88334144917947,
102334361,869954694,19.8137,52.03270553584977,
102334361,102334382,13.0389,53.573182977688596,
102334361,870279625,18.9101,54.24742121425091,
102334361,102334372,16.1078,55.7600112775949,
102334361,869954685,19.5676,56.471910945529416,
102334361,102334374,16.6343,57.604753551103194,
102334361,102334390,15.0037,57.810117379793425,
102334361,869954842,20.1028,58.60576706286581,
102334361,869954843,18.9737,59.34793762686225,
102334361,869954686,20.0277,59.5668973856599,
102334361,869954836,18.4874,60.21998011714431,
111149941,1002359507,19.3345,16.74341940309587,
111149941,1002359509,18.1036,35.44820178158975,
111149941,1002359508,18.7279,35.672037745591076,
111149941,111149940,14.7307,36.56632065945425,
111149941,1002359467,19.6508,48.69683101965678,
111149941,111149938,15.1196,58.58925104335849,
111149941,111149944,13.4151,61.52969758514521,
118352931,118352912,17.4295,6.707379600424767,
118352931,118352953,17.336,8.222465393694655,
118352931,118352902,17.158,10.039253778229847,
118352931,118352914,17.978,13.178814099881125,
118352931,1658306352,19.7486,16.1155129862606,
118352931,118352860,14.98,17.408855381476627,
118352931,118352934,15.0004,18.49088261230174,
118352931,118352856,18.9774,19.54066185473821,
118352931,1658306366,19.3501,19.63987792668433,
118352931,118352863,17.606,21.734958969599163,
118352931,118352850,17.525,22.657464746913206,
118352931,1658306350,18.5116,22.89979266814334,
118352931,118352843,17.3434,23.037696624067763,
118352931,118352903,15.2297,23.056690156102167,
118352931,1658306374,19.7757,23.35499883846019,
118352931,118352885,15.299,24.071256551136283,
118352931,118352904,15.395,24.149960462404817,
118352931,118352997,17.881,24.53450896353553,
118352931,1658306371,19.7058,24.535501280278456,
118352931,118353008,17.841,24.728389155773016,
