TIC,Tmag,status,author_used,n_sectors,n_points,error
373911314,12.88,DOWNLOAD_ERROR,QLP,3,0,Error in reading Data product C:\Users\Admin\.cache\lightkurve\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0056-0000000373911314_tess_v01_llc\hlsp_qlp_tess_ffi_s0056-0000000373911314_tess_v01_llc.fits of typ
349482650,12.16,OK,TESS-SPOC,24,51291,
97032752,12.34,OK,TESS-SPOC,1,1109,
469451734,12.77,OK,GSFC-ELEANOR-LITE,1,1148,
402815463,12.04,OK,QLP,5,30052,
367301645,10.19,OK,QLP,1,2771,
59656329,12.82,OK,GSFC-ELEANOR-LITE,2,1934,
42256607,11.57,OK,QLP,8,46625,
319184580,12.02,OK,QLP,6,47644,
258329752,13.0,OK,GSFC-ELEANOR-LITE,2,2167,
220477788,12.91,OK,GSFC-ELEANOR-LITE,12,12404,
40730002,12.92,OK,QLP,9,58148,
230279486,12.61,OK,QLP,4,19601,
411731832,13.0,OK,GSFC-ELEANOR-LITE,1,1081,
43797047,11.6,OK,TESS-SPOC,1,7629,
356064919,10.99,OK,TESS-SPOC,3,4021,
378267838,11.98,OK,QLP,9,63506,
224835221,12.36,OK,GSFC-ELEANOR-LITE,1,1047,
341355560,11.27,OK,TESS-SPOC,2,9612,
264324043,10.44,OK,TESS-SPOC,1,6998,
338586805,13.76,NO_DATA,,0,0,
374042630,13.85,OK,QLP,4,35603,
35727587,13.66,OK,GSFC-ELEANOR-LITE,1,1086,
436415423,13.25,OK,QLP,6,31445,
240959751,13.13,OK,QLP,3,23502,
381979036,13.25,OK,GSFC-ELEANOR-LITE,13,13367,
348801372,13.81,NO_DATA,,0,0,
82132592,13.14,OK,GSFC-ELEANOR-LITE,2,1966,
233153249,13.7,DOWNLOAD_ERROR,TARS,36,0,Error in reading Data product C:\Users\Admin\.cache\lightkurve\mastDownload\HLSP\hlsp_tars_tess_ffi_s0014-0000000233153249_tess\hlsp_tars_tess_ffi_s0014-0000000233153249_tess_v01_lc.fits of type gener
97011250,13.68,OK,GSFC-ELEANOR-LITE,1,1056,
315118781,13.28,OK,GSFC-ELEANOR-LITE,2,1963,
78008286,13.86,OK,GSFC-ELEANOR-LITE,1,1100,
374684661,13.62,OK,GSFC-ELEANOR-LITE,1,1107,
180448842,13.48,OK,QLP,2,12739,
23259249,13.84,OK,GSFC-ELEANOR-LITE,1,1086,
258475887,13.72,NO_DATA,,0,0,
469212596,13.74,OK,GSFC-ELEANOR-LITE,2,2211,
366812186,13.11,OK,QLP,6,39729,
281213488,13.74,NO_DATA,,0,0,
185326770,13.76,OK,GSFC-ELEANOR-LITE,1,862,
49209767,14.09,OK,QLP,2,14243,
146087144,14.2,NO_DATA,,0,0,
338100526,14.05,OK,GSFC-ELEANOR-LITE,1,1049,
394083846,14.36,OK,GSFC-ELEANOR-LITE,1,1062,
201507142,14.31,NO_DATA,,0,0,
439708106,14.29,SEARCH_ERROR,,0,0,"HTTPConnectionPool(host='mastresolver.stsci.edu', port=80): Read timed out. (read timeout=None)"
406877008,13.9,SEARCH_ERROR,,0,0,"('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
122328031,13.99,OK,GSFC-ELEANOR-LITE,3,3073,
317336819,14.06,OK,GSFC-ELEANOR-LITE,2,2263,
81551538,14.12,OK,GSFC-ELEANOR-LITE,1,1086,
350477886,13.92,OK,GSFC-ELEANOR-LITE,13,13367,
157910292,14.08,NO_DATA,,0,0,
378373317,13.99,PROCESSING_ERROR,CDIPS,3,0,The unit 'day' is unrecognized.  It can not be converted to other units.
406676397,13.92,OK,TASOC,2,1988,
289799635,14.08,OK,GSFC-ELEANOR-LITE,1,1100,
343034455,14.05,OK,GSFC-ELEANOR-LITE,1,1086,
230621343,14.12,OK,TASOC,2,1712,
411504404,14.06,OK,GSFC-ELEANOR-LITE,2,2165,
459536921,14.12,OK,GSFC-ELEANOR-LITE,1,1107,
230071233,14.36,PROCESSING_ERROR,TASOC,4,0,"cannot reshape array of size 0 into shape (0,newaxis)"
290296164,14.59,OK,GSFC-ELEANOR-LITE,2,2211,
