TIC,Tmag,status,author_used,n_sectors,n_points,authors_tried,error
373911314,12.88,DOWNLOAD_ERROR,,0,0,QLP,Error in reading Data product C:\Users\Admin\.cache\lightkurve\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0056-0000000373911314_tess_v01_llc\hlsp_qlp_tess_ffi_s0056-0000000373911314_tess_v01_llc.fits of typ
349482650,12.16,OK,(prior run),0,0,,
97032752,12.34,OK,(prior run),0,0,,
469451734,12.77,OK,(prior run),0,0,,
402815463,12.04,OK,(prior run),0,0,,
367301645,10.19,OK,(prior run),0,0,,
59656329,12.82,OK,(prior run),0,0,,
42256607,11.57,OK,(prior run),0,0,,
319184580,12.02,OK,(prior run),0,0,,
258329752,13.0,OK,(prior run),0,0,,
220477788,12.91,OK,(prior run),0,0,,
40730002,12.92,OK,(prior run),0,0,,
230279486,12.61,OK,(prior run),0,0,,
411731832,13.0,OK,(prior run),0,0,,
43797047,11.6,OK,(prior run),0,0,,
356064919,10.99,OK,(prior run),0,0,,
378267838,11.98,OK,(prior run),0,0,,
224835221,12.36,OK,(prior run),0,0,,
341355560,11.27,OK,(prior run),0,0,,
264324043,10.44,OK,(prior run),0,0,,
338586805,13.76,NO_DATA,,0,0,,
374042630,13.85,OK,(prior run),0,0,,
35727587,13.66,OK,(prior run),0,0,,
436415423,13.25,OK,(prior run),0,0,,
240959751,13.13,OK,(prior run),0,0,,
381979036,13.25,OK,(prior run),0,0,,
348801372,13.81,NO_DATA,,0,0,,
82132592,13.14,OK,(prior run),0,0,,
233153249,13.7,OK,TASOC,6,6946,TASOC,
97011250,13.68,OK,(prior run),0,0,,
315118781,13.28,OK,(prior run),0,0,,
78008286,13.86,OK,(prior run),0,0,,
374684661,13.62,OK,(prior run),0,0,,
180448842,13.48,OK,(prior run),0,0,,
23259249,13.84,OK,(prior run),0,0,,
258475887,13.72,NO_DATA,,0,0,,
469212596,13.74,OK,(prior run),0,0,,
366812186,13.11,OK,(prior run),0,0,,
281213488,13.74,NO_DATA,,0,0,,
185326770,13.76,OK,(prior run),0,0,,
49209767,14.09,OK,(prior run),0,0,,
146087144,14.2,NO_DATA,,0,0,,
338100526,14.05,OK,(prior run),0,0,,
394083846,14.36,OK,(prior run),0,0,,
201507142,14.31,NO_DATA,,0,0,,
439708106,14.29,NO_DATA,,0,0,,
406877008,13.9,PROCESSING_ERROR,,0,0,TASOC,"cannot reshape array of size 0 into shape (0,newaxis)"
122328031,13.99,OK,(prior run),0,0,,
317336819,14.06,OK,(prior run),0,0,,
81551538,14.12,OK,(prior run),0,0,,
350477886,13.92,OK,(prior run),0,0,,
157910292,14.08,NO_DATA,,0,0,,
378373317,13.99,OK,PATHOS,3,3453,"CDIPS,PATHOS",
406676397,13.92,OK,(prior run),0,0,,
289799635,14.08,OK,(prior run),0,0,,
343034455,14.05,OK,(prior run),0,0,,
230621343,14.12,OK,(prior run),0,0,,
411504404,14.06,OK,(prior run),0,0,,
459536921,14.12,OK,(prior run),0,0,,
230071233,14.36,PROCESSING_ERROR,,0,0,TASOC,"cannot reshape array of size 0 into shape (0,newaxis)"
290296164,14.59,OK,(prior run),0,0,,
43254864,14.51,DOWNLOAD_ERROR,,0,0,TARS,Error in reading Data product C:\Users\Admin\.cache\lightkurve\mastDownload\HLSP\hlsp_tars_tess_ffi_s0025-0000000043254864_tess\hlsp_tars_tess_ffi_s0025-0000000043254864_tess_v01_lc.fits of type gener
46777491,14.6,NO_DATA,,0,0,,
154159676,14.37,NO_DATA,,0,0,,
285526589,14.64,OK,(prior run),0,0,,
125041228,14.63,NO_DATA,,0,0,,
290342817,14.56,OK,(prior run),0,0,,
294852916,14.71,OK,(prior run),0,0,,
391578826,14.58,NO_DATA,,0,0,,
58739772,14.66,OK,(prior run),0,0,,
307031606,14.42,OK,(prior run),0,0,,
378494940,14.39,NO_DATA,,0,0,,
319926294,14.65,OK,(prior run),0,0,,
330234939,14.5,OK,PATHOS,2,2244,"CDIPS,PATHOS",
337786623,14.53,PROCESSING_ERROR,,0,0,CDIPS,The unit 'day' is unrecognized.  It can not be converted to other units.
231528689,14.64,OK,(prior run),0,0,,
287319113,14.56,NO_DATA,,0,0,,
420981052,14.58,OK,(prior run),0,0,,
243715491,14.55,NO_DATA,,0,0,,
72005925,14.64,OK,(prior run),0,0,,
65268246,14.86,NO_DATA,,0,0,,
85848107,14.94,NO_DATA,,0,0,,
216188210,14.86,NO_DATA,,0,0,,
12151886,15.21,PROCESSING_ERROR,,0,0,TASOC,"cannot reshape array of size 0 into shape (0,newaxis)"
362115607,14.82,OK,(prior run),0,0,,
163249597,14.93,OK,(prior run),0,0,,
241818542,14.87,OK,(prior run),0,0,,
172426112,14.81,PROCESSING_ERROR,,0,0,TASOC,"cannot reshape array of size 0 into shape (0,newaxis)"
351344426,14.89,NO_DATA,,0,0,,
287846593,14.84,OK,(prior run),0,0,,
1961129327,14.74,OK,(prior run),0,0,,
337761310,14.83,PROCESSING_ERROR,,0,0,TASOC,"cannot reshape array of size 0 into shape (0,newaxis)"
401120789,14.93,OK,(prior run),0,0,,
217823787,14.93,NO_DATA,,0,0,,
264664576,14.85,NO_DATA,,0,0,,
46669598,14.78,OK,(prior run),0,0,,
223206165,14.8,NO_DATA,,0,0,,
383076940,14.87,OK,(prior run),0,0,,
387610777,14.94,NO_DATA,,0,0,,
55401584,14.95,OK,(prior run),0,0,,
