TIC,Tmag,status,author_used,n_sectors,n_points,authors_tried,error
224291351,10.58,OK,TESS-SPOC,1,6421,TESS-SPOC,
453937711,12.96,OK,GSFC-ELEANOR-LITE,2,2188,GSFC-ELEANOR-LITE,
326260517,12.03,OK,QLP,39,240405,QLP,
236345227,12.85,OK,TESS-SPOC,4,5915,TESS-SPOC,
230275619,11.62,OK,TESS-SPOC,3,8089,TESS-SPOC,
375578998,12.11,OK,QLP,2,13705,QLP,
73561499,11.46,OK,QLP,5,23163,QLP,
158495042,12.81,OK,QLP,11,75449,QLP,
79419093,12.12,OK,QLP,4,20048,QLP,
349477745,12.08,OK,TESS-SPOC,24,46905,TESS-SPOC,
86968460,11.95,OK,GSFC-ELEANOR-LITE,1,1177,GSFC-ELEANOR-LITE,
250630820,11.18,OK,TESS-SPOC,1,991,TESS-SPOC,
220426670,7.84,OK,SPOC,1,14740,SPOC,
394420407,12.35,OK,QLP,3,25464,QLP,
183517039,10.88,OK,QLP,6,50883,QLP,
341194762,10.84,OK,GSFC-ELEANOR-LITE,3,3073,GSFC-ELEANOR-LITE,
399550694,9.52,OK,TESS-SPOC,1,7042,TESS-SPOC,
96965237,9.71,OK,SPOC,1,13326,SPOC,
427332229,11.02,OK,SPOC,1,10987,SPOC,
466062107,13.03,OK,GSFC-ELEANOR-LITE,2,2188,GSFC-ELEANOR-LITE,
111392188,12.0,OK,QLP,2,15006,QLP,
444461874,12.05,OK,QLP,6,32262,QLP,
430248214,12.89,OK,GSFC-ELEANOR-LITE,1,1086,GSFC-ELEANOR-LITE,
59633038,13.0,OK,QLP,8,56714,QLP,
76879277,11.61,OK,QLP,5,28021,QLP,
402613330,8.2,OK,SPOC,2,25377,SPOC,
383290559,12.9,OK,GSFC-ELEANOR-LITE,3,3073,GSFC-ELEANOR-LITE,
90463574,12.35,OK,QLP,8,46615,QLP,
366749440,8.29,OK,TESS-SPOC,4,27824,TESS-SPOC,
66732476,12.48,OK,TESS-SPOC,1,3316,TESS-SPOC,
118352931,11.96,OK,QLP,3,30841,QLP,
278233128,12.6,OK,QLP,3,18292,QLP,
342315249,10.69,OK,TESS-SPOC,10,44919,TESS-SPOC,
264273483,11.78,OK,GSFC-ELEANOR-LITE,1,1029,GSFC-ELEANOR-LITE,
273158289,12.92,OK,GSFC-ELEANOR-LITE,1,1081,GSFC-ELEANOR-LITE,
142837818,10.64,OK,GSFC-ELEANOR-LITE,1,1072,GSFC-ELEANOR-LITE,
437150434,11.94,OK,TESS-SPOC,1,3368,TESS-SPOC,
378067576,12.62,OK,QLP,5,23440,QLP,
313705269,11.25,OK,SPOC,1,7846,SPOC,
370596397,12.38,OK,QLP,3,23519,QLP,
43333100,9.46,OK,TESS-SPOC,1,7633,TESS-SPOC,
403645199,9.48,OK,TESS-SPOC,1,6713,TESS-SPOC,
273854781,11.15,OK,QLP,3,21377,QLP,
193621561,12.95,OK,QLP,9,65919,QLP,
229497968,11.96,OK,QLP,42,244035,QLP,
239727049,13.0,OK,QLP,8,52448,QLP,
309240602,12.91,OK,QLP,2,12795,QLP,
31717527,8.14,OK,TESS-SPOC,1,10172,TESS-SPOC,
367167782,12.58,OK,QLP,6,31261,QLP,
111149941,10.05,OK,TESS-SPOC,1,1521,TESS-SPOC,
318928219,12.98,OK,GSFC-ELEANOR-LITE,1,1081,GSFC-ELEANOR-LITE,
433770378,9.91,OK,TESS-SPOC,1,7758,TESS-SPOC,
333745611,13.0,OK,GSFC-ELEANOR-LITE,1,964,GSFC-ELEANOR-LITE,
181674559,12.18,OK,GSFC-ELEANOR-LITE,2,1966,GSFC-ELEANOR-LITE,
229685062,10.95,OK,TESS-SPOC,17,152531,TESS-SPOC,
235555541,12.14,OK,TESS-SPOC,7,20166,TESS-SPOC,
446487595,12.32,OK,QLP,2,22238,QLP,
258270250,12.67,OK,QLP,9,50427,QLP,
355981677,12.73,OK,QLP,3,25483,QLP,
358453926,11.84,OK,GSFC-ELEANOR-LITE,2,2211,GSFC-ELEANOR-LITE,
203279104,7.26,OK,TESS-SPOC,2,10678,TESS-SPOC,
183663600,12.28,OK,GSFC-ELEANOR-LITE,1,862,GSFC-ELEANOR-LITE,
373702198,10.96,OK,TESS-SPOC,1,6434,TESS-SPOC,
35877600,12.9,OK,GSFC-ELEANOR-LITE,1,1051,GSFC-ELEANOR-LITE,
311062286,12.61,OK,QLP,3,21850,QLP,
333584947,10.92,OK,QLP,3,30682,QLP,
397004767,10.99,OK,QLP,5,20382,QLP,
40701396,12.06,OK,GSFC-ELEANOR-LITE,1,1086,GSFC-ELEANOR-LITE,
138407805,11.16,OK,TESS-SPOC,4,10618,TESS-SPOC,
44533833,10.98,OK,TESS-SPOC,1,7384,TESS-SPOC,
467213914,13.01,OK,QLP,19,140732,QLP,
366004177,11.25,OK,GSFC-ELEANOR-LITE,1,1177,GSFC-ELEANOR-LITE,
20817046,7.32,OK,TESS-SPOC,3,25380,TESS-SPOC,
411513993,12.79,OK,GSFC-ELEANOR-LITE,2,2165,GSFC-ELEANOR-LITE,
342332744,12.36,OK,QLP,8,52084,QLP,
222712042,12.87,OK,QLP,2,12952,QLP,
