TIC,n_points_raw,n_points,status,error,n_dropped_physical,frac_dropped_physical,bls_period,bls_t0,bls_duration,bls_depth,bls_depth_err,bls_snr,n_in_transit,depth_flagged_implausible,insufficient_intransit_points,depth_odd,depth_even,odd_even_z,possible_half_period_alias,n_odd,n_even,secondary_phase,secondary_depth,secondary_sigma,secondary_detected,secondary_flagged_implausible
122328031,3073,3063,OK,,10,0.0032541490400260333,24.60005074464305,1535.2513052902768,0.5,0.012557991450631693,0.00017872742244080342,70.26337245360904,69.0,False,False,0.00018710794743326264,0.019661183059724308,0.8985236549682267,False,26.0,51.0,-0.09499999999999997,0.004473018218385749,4.192298630549693,False,False
163249597,1086,1086,OK,,0,0.0,11.37644927544914,1570.6984327550208,0.244,0.020004153745419858,0.0004932663399020252,40.554467489902464,21.0,False,False,,,,False,0.0,25.0,0.20500000000000002,0.009601074851711244,5.976920709124015,True,False
180448842,12739,12691,OK,,48,0.003767956668498312,17.28146641227578,2779.106672696317,0.084,0.949780417916297,0.0005316344632358849,1786.529060090075,17.0,False,False,,,,False,0.0,23.0,-0.0050000000000000044,0.46629094018508443,7.000688464367631,True,False
185326770,862,862,OK,,0,0.0,11.106800320005439,1519.3242328847077,0.17,0.011035553002469459,0.00024175779676773577,45.64714416665394,16.0,False,False,,,,False,0.0,20.0,-0.235,0.0016869493084439302,0.1865873900767775,False,False
1961129327,1854,109,UNRELIABLE_DATA,,1743,0.9401294498381877,,,,,,,,,,,,,,,,,,,,
220477788,12404,12379,OK,,25,0.002015478877781361,38.968110608823174,1361.5793957329163,0.028,0.0847187679709254,0.0003253553318915016,260.38844201015627,6.0,True,True,0.0016360028845809893,0.0009282728015526098,0.02748171151716666,False,5.0,3.0,0.405,0.0008903159850264242,3.217317802881971,False,False
224835221,1047,1029,OK,,18,0.017191977077363897,13.01948316151508,1627.082018239036,0.5,0.23676087138228546,0.00044273876729050335,534.7642647858181,31.0,False,False,-0.004509097496184555,0.2610006138115374,28.216331922667994,True,8.0,32.0,0.08499999999999996,0.029857923687781396,4.821382823991604,False,False
230279486,19601,19592,OK,,9,0.0004591602469261772,35.36177465990205,2036.517713040045,0.244,0.8426186010751767,0.0008121586599522764,1037.5049145258024,97.0,False,False,,,,False,107.0,0.0,-0.015000000000000013,0.0039316570416619845,0.35270033021924513,False,False
230621343,1712,213,UNRELIABLE_DATA,,1499,0.8755841121495327,,,,,,,,,,,,,,,,,,,,
231528689,862,838,OK,,24,0.027842227378190254,0.9982346139930549,1518.673751592,0.5,0.005965475257863568,0.00015015944114809933,39.72760695066743,413.0,False,False,0.0021821985494838714,-0.00011885547301693222,0.2236113654595461,False,258.0,243.0,,,,False,False
23259249,1086,1086,OK,,0,0.0,3.9740155961235786,1628.4670353392085,0.17,0.039153593164955494,0.0006553308361630087,59.746300653577556,42.0,False,False,0.0511084488286091,0.024059756272645227,16.074528797342108,True,22.0,32.0,-0.475,0.00579969258111257,2.566694232320161,False,False
233153249,6946,1174,UNRELIABLE_DATA,,5772,0.8309818600633458,,,,,,,,,,,,,,,,,,,,
240959751,23502,23502,OK,,0,0.0,16.02131490305511,1802.657841972322,0.244,0.0884534068162947,0.0005133311573968648,172.31256186522478,421.0,False,False,0.05961266272884724,0.08756478429134784,12.645854144613063,True,253.0,254.0,0.46499999999999997,0.011504970287172012,7.249296827986725,True,False
241818542,1081,1081,OK,,0,0.0,13.523083206336189,1596.947033710472,0.244,0.14096342059844078,0.0008432180723717406,167.1731491735577,10.0,False,False,,,,False,0.0,13.0,0.04500000000000004,0.015288885401068875,8.392778187705453,True,False
258329752,2167,2164,OK,,3,0.0013844023996308261,27.460432810055384,1614.043928041759,0.02,0.07626706980570676,0.0016713827634101488,45.63112141356409,1.0,True,True,,,,False,2.0,1.0,0.46499999999999997,0.0030795016763888183,0.9719588321088151,False,False
264324043,6998,6998,OK,,0,0.0,2.2083431728504856,3481.7447577627368,0.17,0.07207068161702057,4.993376225179182e-05,1443.3256852067939,582.0,False,False,0.06447301396881389,0.06553306314440221,7.716325232754418,True,439.0,263.0,0.405,0.0005732445935913155,1.370488645111427,False,False
285526589,1934,1934,OK,,0,0.0,24.186414953795797,1511.0021486616665,0.35000000000000003,0.05271091491154453,0.0005195884201703121,101.44743967593966,31.0,False,False,0.08773975049167804,0.000683305012131763,29.76092369756113,True,19.0,18.0,0.015000000000000013,0.006794308172098917,2.8849588673549706,False,False
