TIC,bls_period,bls_depth,bls_snr,n_eclipses_observed,gap_edge_suspect,verdict,exoplanet_conflict,vsx_match,vsx_name,vsx_type,vsx_period,asassn_match,asassn_queried_ok,asassn_name,asassn_type,asassn_period,gaia_veb_match,gaia_veb_period,gaia_class_match,gaia_class,gaia_class_score,tess_eb_match,tess_eb_period,tess_eb_morph,toi_match,toi,toi_tess_disp,toi_tfopwg_disp,toi_period,period_check_source,period_check
111149941,5.240091764822175,0.0004546419920715,10.185398171399184,3.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
118352931,27.040571054777597,0.3329912019049989,1035.8642633975048,3.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
119459681,5.944205171807016,0.1597707075177683,310.5707953376803,3.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
122328031,24.60005074464305,0.0125579914506316,70.26337245360904,3.0,True,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
125900581,3.265462365578779,0.0258281203990943,13.374851242380425,7.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
1326118009,6.034863511026644,0.0350042744208291,56.07358787081197,5.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
136191877,0.9021624954798596,0.5656905815020541,555.2885829234801,171.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
137091217,13.589848101136296,0.0010750287904441,149.3420560037325,104.0,False,KNOWN_OTHER_TYPE,False,True,KIC 4922031,ROT,13.622,False,True,,,,False,,True,SOLAR_LIKE,0.39762568,False,,,False,,,,,vsx,agrees_1x
138407805,0.8779908345776146,0.0051599895060274,78.9407971409491,67.0,False,KNOWN_OTHER_TYPE,False,True,Gaia DR3 3440308111637608576,DSCT|GDOR|SXPHE,,False,True,,,,False,,True,DSCT|GDOR|SXPHE,0.54127276,False,,,False,,,,,,no_catalog_period
142841561,0.7550291699559759,0.0309780403043623,96.8776297735366,23.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
146204013,14.190971289039512,0.2063522345940655,2793.690762175509,4.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
146608979,3.687471924797949,0.0096821746189435,36.47146913521904,13.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
153080360,0.7825225996516298,0.0065641126907423,111.9771643914806,28.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
153336799,1.1312302183921423,0.0096974595409396,56.13702699606745,35.0,False,KNOWN_OTHER_TYPE,False,True,Gaia DR3 5597495980550215680,DSCT|GDOR|SXPHE,,False,True,,,,False,,True,DSCT|GDOR|SXPHE,0.8333429,False,,,False,,,,,,no_catalog_period
154831114,1.582454434959247,0.0321311863896544,114.75730765267308,25.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
158329671,1.5333946458252492,0.1181365006913262,674.2709071442584,15.0,False,CONTAMINATED,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
160130060,3.105666960115145,0.0591262341718899,67.71893756567215,8.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
19938261,2.320534793072512,0.0648366854418897,139.4451713677607,9.0,False,KNOWN_OTHER_TYPE,False,True,Gaia DR3 5752881854296179968,RS,,False,True,,,,False,,True,RS,0.569559,False,,,False,,,,,,no_catalog_period
203279104,1.2344142866893872,0.0002040231467662,32.51581597281258,21.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
207754858,10.197636246489369,0.0028047412999111,14.044313028566512,3.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
208358448,1.678437364059726,0.0150610035627843,118.66098785556149,8.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
220148279,3.6427614196385134,0.0156983523137653,35.864218316498786,5.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
230275619,3.1561343130066786,0.0004485323326751,11.45843335931336,25.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
231260455,1.1126977080058151,0.0884634213696254,109.0356776339106,23.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
23259249,3.9740155961235786,0.0391535931649554,59.74630065357756,5.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
233415701,5.271641732651179,0.0100988652846398,63.155952515957104,43.0,False,KNOWN_TOI,True,False,,,,False,True,,,,False,,False,,,False,,,True,3555.01,PC,PC,5.271813,toi,agrees_1x
237115819,14.79205908513923,0.088832292054031,506.9717837496276,75.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
250630820,1.132055270127599,0.0242731388705002,321.75923440785914,19.0,False,KNOWN_OTHER_TYPE,False,True,Gaia DR3 358196458556224640,DSCT|GDOR|SXPHE,,False,True,,,,False,,True,DSCT|GDOR|SXPHE,0.18921366,False,,,False,,,,,,no_catalog_period
253168781,3.7402726304851774,0.0081922718239505,54.98500105540781,7.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
273158289,1.151882938585293,0.0125462734332341,41.26919130495207,19.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
278233128,33.59348122668497,0.2504616924293998,156.38205599887652,3.0,False,KNOWN_OTHER_TYPE,False,True,Gaia DR3 1820622828503613824,SR|M,46.23,False,True,,,,False,,True,LPV,0.8698307,False,,,False,,,,,vsx,disagrees(ratio=0.7267)
281286325,17.01801073242722,0.0066087982330431,12.934877501170693,4.0,False,KNOWN_TOI,True,False,,,,False,True,,,,False,,False,,,False,,,True,6485.01,PC,PC,17.0180939,toi,agrees_1x
282345650,27.09254689624314,0.3511603424632393,1235.8258851333342,3.0,False,KNOWN_OTHER_TYPE,False,True,ASASSN-V J190138.92+183820.8,SR,71.09,True,True,J190138.83+183821.7,SR,71.094,False,,True,LPV,0.95210844,False,,,False,,,,,vsx,disagrees(ratio=0.3811)
287846593,1.7622511272952033,0.0846077443033173,3076.457002581413,11.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
29216744,1.108326864407436,0.0451810713037801,141.48774443607496,39.0,False,KNOWN_OTHER_TYPE,False,True,Gaia DR3 5331550029333155584,VAR,0.015124,False,True,,,,False,,False,,,False,,,False,,,,,vsx,disagrees(ratio=73.2827)
294852916,2.546779832363934,0.0144593405933424,357.39540457810057,19.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
29495157,5.147448543522719,0.0857856252931797,333.23644002774006,4.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
298215657,3.0975897908114414,0.0036197085661879,16.34983997169683,8.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
303470667,5.431909907725591,0.0221977249554096,56.9755696599801,4.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
304809821,0.7697173295530879,0.0372732709724049,127.16795161523324,65.0,False,KNOWN_OTHER_TYPE,False,True,Gaia DR3 5335202087268263552,S,,False,True,,,,False,,True,S,0.9438097,False,,,False,,,,,,no_catalog_period
304889252,0.7932578257742319,0.0567387241544411,230.28107172110185,42.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
309240602,4.119454357700242,0.0706914616810379,234.36121843983744,13.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
309672362,1.8162914726229744,0.0041137198726922,23.285909148859467,14.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
313356920,3.335965931423492,0.0084937860584415,52.94050393866905,11.0,False,KNOWN_OTHER_TYPE,False,True,ZTF J142745.11+324810.3,BY,3.2773385,False,True,,,,False,,True,SOLAR_LIKE,0.72951424,False,,,False,,,,,vsx,disagrees(ratio=1.0179)
313569577,0.9025875981330648,0.0167141688738997,205.25053185791583,24.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
318928219,2.7149268133440856,0.0418325279225744,383.1461845522305,10.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
320474615,4.584394125843311,0.0154674647474779,21.722492785169344,4.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
323961620,1.5750813413094311,0.0043311300626525,61.19139479354838,27.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
329832608,13.945488523013434,0.0396381064565958,386.2556267008232,3.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
330901906,3.732068126022025,0.0049831981812006,60.09782681820708,29.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
343034455,3.110793937829511,0.0398908938207056,27.58901255002687,5.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
3516691,0.9593438431486404,0.0133155272651564,50.16086867429706,43.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
35727587,0.7470882998160427,0.0019910663231604,58.19149981825976,37.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
362115607,0.8076008601229427,0.0331508678066683,100.58679309436036,31.0,False,KNOWN_OTHER_TYPE,False,True,Gaia DR3 5821109849349072128,ROT,0.371395,False,True,,,,False,,False,,,False,,,False,,,,,vsx,disagrees(ratio=2.1745)
366749440,20.49675969432868,0.0004139979884085,19.208539822537823,4.0,True,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
378067576,1.1061276196860994,0.0604560919642945,91.20615401682365,120.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
386206443,7.328388787150551,0.0170532460434892,27.31876969950387,3.0,False,KNOWN_OTHER_TYPE,False,True,Gaia DR3 3031738180692053760,DSCT|GDOR|SXPHE,,False,True,,,,False,,True,DSCT|GDOR|SXPHE,0.3043258,False,,,False,,,,,,no_catalog_period
387142107,1.7165187147790577,0.0457525891663695,184.35170617405257,11.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
394085020,0.7152064916664156,0.0181221086783018,60.45959917531625,22.0,False,KNOWN_OTHER_TYPE,False,True,Gaia DR3 6408095195658016896,VAR,0.143075,False,True,,,,False,,False,,,False,,,False,,,,,vsx,disagrees(ratio=4.9988)
394420407,26.2727925718536,0.5223103091295546,446.6717517043114,3.0,False,KNOWN_OTHER_TYPE,False,True,Gaia DR3 4313900680080770688,RS,,False,True,,,,False,,True,RS,0.08929928,False,,,False,,,,,,no_catalog_period
402613330,9.050034267510537,0.0004915445103502,19.737580811956462,3.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
411434067,1.353604313972901,0.0428867735512509,192.9009286180517,39.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
412633548,1.0168616335497216,0.0850527512443017,199.49707093160563,23.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
417861102,2.514278332071979,0.0194097209347311,27.07948562962417,19.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
421566477,1.110034236550112,0.0441018363772221,541.5146106696648,22.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
426236217,3.7338081468256674,0.3589824217873917,894.8374121331576,5.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
427332229,2.7184029339124,0.0086033562781794,80.869982689952,5.0,False,KNOWN_TOI,True,True,WASP-32,EP,2.718659,False,True,,,,False,,False,,,False,,,True,4523.01,KP,KP,2.7186256,toi,agrees_1x
43333100,0.8084676331326976,0.0002380657932495,12.213604720524106,24.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
433770378,10.436249073720782,0.0016108858075791,27.13193207553424,3.0,True,KNOWN_OTHER_TYPE,False,True,GDS_J1836425-152947,VAR,,True,True,J183642.55-152946.5,SR,5.8246,False,,False,,,False,,,False,,,,,asassn,disagrees(ratio=1.7918)
437150434,5.285343164440589,0.1500325939135055,1081.0130168195617,4.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
453937711,9.85743621669378,0.0248961409351603,197.4208424063532,6.0,False,KNOWN_OTHER_TYPE,False,True,Gaia DR3 5230671143152436096,ROT,,False,True,,,,False,,True,SOLAR_LIKE,0.2809426,False,,,False,,,,,,no_catalog_period
