TIC,RAJ2000,DEJ2000,Tmag
373911314,345.862283,40.833833,12.88
349482650,111.033326,-62.14099,12.16
97032752,74.671398,35.229662,12.34
469451734,269.806161,-39.016113,12.77
402815463,305.456749,23.285558,12.04
367301645,300.763394,8.364137,10.19
59656329,109.557422,-46.727535,12.82
42256607,302.420094,36.00594,11.57
319184580,350.43809,58.794401,12.02
258329752,221.396726,-66.212535,13.0
220477788,75.862996,-59.941333,12.91
40730002,301.081475,40.605294,12.92
230279486,272.066101,19.342719,12.61
411731832,214.292982,-56.196188,13.0
43797047,265.580261,13.697891,11.6
356064919,257.913559,22.332407,10.99
378267838,303.494542,46.661931,11.98
224835221,257.54689,-37.660393,12.36
341355560,249.869209,16.128239,11.27
264324043,273.098131,4.902299,10.44
338586805,283.51255,13.831019,13.76
374042630,346.61494,38.25738,13.85
35727587,249.991433,-53.037125,13.66
436415423,307.3814,28.351832,13.25
240959751,18.712386,53.07511,13.13
381979036,77.746145,-56.63649,13.25
348801372,61.346587,27.465137,13.81
82132592,124.068623,-45.223855,13.14
233153249,274.581684,65.206992,13.7
97011250,265.538005,-51.480772,13.68
315118781,145.339443,-26.072687,13.28
78008286,142.455439,-43.179682,13.86
374684661,150.771497,-61.00254,13.62
180448842,287.236282,0.292382,13.48
23259249,248.335155,-53.093366,13.84
258475887,315.306496,22.186185,13.72
469212596,148.577652,-58.433374,13.74
366812186,76.919075,35.334067,13.11
281213488,299.018307,26.432239,13.74
185326770,129.605527,-33.470355,13.76
49209767,204.406891,-24.577629,14.09
146087144,281.928131,-9.737397,14.2
338100526,253.088263,-38.273962,14.05
394083846,337.799681,-63.594126,14.36
201507142,0.755388,53.515374,14.31
439708106,298.381378,-2.003362,14.29
406877008,273.983694,17.217375,13.9
122328031,133.492676,-59.233894,13.99
317336819,61.443177,-86.489492,14.06
81551538,167.479451,-49.905534,14.12
350477886,85.633178,-56.392951,13.92
157910292,225.664665,-2.570665,14.08
378373317,358.26715,61.9614,13.99
406676397,309.364552,23.604277,13.92
289799635,160.728594,-17.373037,14.08
343034455,240.61782,-60.347651,14.05
230621343,307.894981,30.847783,14.12
411504404,183.309329,-57.371148,14.06
459536921,162.976298,-58.466115,14.12
230071233,243.305625,68.614925,14.36
290296164,136.512574,-60.328736,14.59
43254864,250.418623,30.868443,14.51
46777491,96.998804,21.207625,14.6
154159676,266.53312,-40.164104,14.37
285526589,120.10439,-42.209899,14.64
125041228,288.751814,-7.111944,14.63
290342817,234.40019,-46.390531,14.56
294852916,140.45434,-51.219398,14.71
391578826,291.3038,1.804471,14.58
58739772,203.39555,-24.638012,14.66
307031606,98.311595,12.037815,14.42
378494940,302.318098,30.141757,14.39
319926294,109.555399,-30.086879,14.65
330234939,333.467394,55.707314,14.5
337786623,293.48745,25.989759,14.53
231528689,127.530405,-26.030478,14.64
287319113,263.843943,19.79335,14.56
420981052,82.189886,-18.911493,14.58
243715491,301.766386,-5.665588,14.55
72005925,167.398852,-45.348157,14.64
65268246,358.255552,57.473927,14.86
85848107,63.998367,31.390023,14.94
216188210,278.091139,-9.775743,14.86
12151886,304.454953,38.353938,15.21
362115607,244.978861,-67.765147,14.82
163249597,173.043815,-46.722855,14.93
241818542,209.566029,-51.770582,14.87
172426112,299.590701,40.262708,14.81
351344426,226.884923,23.04842,14.89
287846593,97.629961,-14.950079,14.84
1961129327,314.520499,40.423862,14.74
337761310,293.538124,24.304927,14.83
401120789,134.855975,-49.439862,14.93
217823787,278.367413,-10.358691,14.93
264664576,292.300349,14.075879,14.85
46669598,258.163081,-32.942923,14.78
223206165,285.808543,11.933954,14.8
383076940,183.794445,-61.783104,14.87
387610777,103.30211,17.82216,14.94
55401584,78.006881,-60.379303,14.95
