TIC,RAJ2000,DEJ2000,Tmag
224290741,183.379216,55.988976,12.77
453947125,154.163527,-66.977692,12.76
326257760,298.868023,66.740962,11.34
236345107,242.896197,26.847601,12.38
230275195,272.063469,23.250356,12.87
375578998,307.351444,2.658356,12.11
73559223,281.463024,16.724367,11.78
158491393,287.517087,46.223811,10.13
79414156,90.301317,27.380932,12.03
349452665,61.656335,33.295685,11.25
86966508,272.537708,-46.340634,12.22
250624888,272.250834,-1.004238,10.87
220421821,72.090695,-59.264726,10.77
394420407,286.933941,12.372191,12.35
183504393,300.052251,2.30721,12.38
341191997,118.735694,-54.482248,12.92
399552998,271.575338,6.173175,10.51
96964370,323.504418,14.470421,11.89
427332291,4.011565,0.82077,11.1
466068018,164.976243,-61.471094,12.62
111381389,110.683218,-30.815659,10.98
444461903,8.037466,64.307391,11.72
430253781,241.958709,-55.559049,12.94
59632062,297.230895,33.425524,12.19
76878389,87.584607,29.161762,12.42
402630334,301.476998,16.340226,9.91
383290559,134.380873,-59.253857,12.9
90461835,301.79695,35.884968,12.98
366745208,76.872019,33.694884,12.21
66719638,341.74711,52.871222,11.46
118338397,34.591921,26.319948,13.03
278221174,284.405327,-32.035178,11.66
342314040,123.677831,-57.846934,12.96
264252839,295.734558,70.162839,11.66
273150032,188.462376,-59.414721,12.52
142828597,174.372046,67.986103,10.39
437162445,141.116457,-54.120831,13.02
378067576,295.225348,20.520351,12.62
313697192,345.202528,57.831525,12.84
370591535,226.0926,-53.077711,12.49
43332820,260.949667,20.279266,10.98
403648124,286.456188,-1.899512,12.85
273851609,86.376909,43.254935,12.19
193601147,266.096812,47.312766,11.35
229494833,296.274062,60.132203,9.98
239727049,86.514385,33.447527,13.0
309234923,25.583252,51.949905,11.22
31702462,48.035244,-66.633397,11.97
367167773,308.82243,28.027624,11.87
111123764,298.370204,0.28978,11.13
318894871,109.950608,-8.288954,12.63
433784316,341.582267,63.301631,12.97
333732697,303.482572,73.102419,11.16
181640057,280.400644,-1.091712,12.8
229679695,198.102624,-29.43755,11.47
235552030,104.615775,10.605097,10.51
446489907,287.499082,-13.244112,9.66
258269775,283.052245,38.739281,8.24
355979420,190.425159,78.3059,11.54
358416094,283.206712,24.893993,11.09
203230336,214.84906,-4.974573,12.9
183652582,195.681954,-10.986648,13.03
373702198,27.760347,65.609429,10.96
35852034,149.195149,-45.55953,12.53
311051534,185.642217,-60.285019,12.95
333569585,181.867497,-53.801499,12.46
397004767,309.554218,27.634514,10.99
40688128,293.544694,31.109103,12.81
138404120,95.69572,31.314426,11.34
44533622,268.578699,15.420427,12.15
467213980,296.696901,57.025406,11.19
365996460,276.33553,-63.123664,11.94
20815767,284.833388,31.155901,11.56
411536289,183.301211,-59.530729,12.37
342327688,275.975163,18.318354,12.85
222705458,285.042318,6.772331,12.36
411437824,214.245317,-57.882414,12.22
93196990,129.751668,-48.527999,11.22
180182305,188.73441,-60.886262,11.98
29455183,86.41887,18.656895,7.38
43796218,265.62381,14.448416,11.45
251902931,299.07271,-0.779665,12.95
469311289,148.820232,-56.928537,11.68
224640575,312.353535,19.075823,12.7
153030770,120.198737,-24.439793,12.59
387142211,102.710966,16.23829,8.6
309656476,79.122119,-64.355662,8.84
330872401,310.17509,20.09041,11.6
237093537,231.412269,27.976421,11.45
376797272,180.628473,2.614063,12.15
208339985,244.625854,-55.912931,12.66
174049941,282.500183,4.22588,12.71
358870305,139.309437,-65.305943,12.26
60922988,25.846573,18.585595,12.31
335497763,178.857158,-15.48984,12.7
159800860,261.557895,-33.164609,12.94
42208515,250.776727,-49.175957,12.55
282344989,285.379956,18.517849,12.87
230269712,271.93658,19.395264,12.59
399770041,164.742646,-67.669747,12.01
313945902,278.284984,-37.85497,13.35
230232470,259.659006,18.931481,13.31
84712980,63.675045,62.802308,13.61
374153172,150.076032,-62.466567,13.71
34012277,267.111979,-45.546302,13.86
72393771,296.066757,35.54084,13.51
154831114,122.484847,-27.559408,13.59
239757265,86.736517,32.408273,13.38
296467859,306.929081,50.097104,13.43
93608201,240.434592,-35.684626,13.84
150250315,94.544559,-63.442677,13.27
233459038,210.85523,53.21241,13.26
43676321,265.21986,16.042661,13.56
186142270,303.718924,46.942323,13.47
394111941,286.766183,17.007186,13.21
313365243,202.209998,-64.943608,13.18
70378879,114.338293,19.956844,13.11
64266696,338.051324,56.965824,13.65
87926455,299.169793,30.000905,13.52
237115819,269.854187,59.370083,13.38
376043469,337.151106,67.705577,13.73
231203994,100.94449,7.491678,13.08
139853641,112.394058,-21.846265,13.22
414257425,232.54974,-59.334374,13.81
236791292,283.455301,55.432977,13.63
335219408,268.357349,15.122036,13.24
132196354,148.353255,-52.248452,13.28
47925310,287.344205,-5.600783,13.08
393923433,128.33225,-34.639624,13.28
349701853,282.823146,19.081457,13.06
269667790,316.560929,22.83169,13.87
299139880,143.431864,-52.856952,13.35
363753824,3.272508,57.382091,13.23
12080822,298.349027,28.266739,13.43
348345578,254.375407,-49.976163,13.86
218195662,262.154688,-42.237486,13.83
1421912603,265.30885,-33.366766,13.75
10510721,28.802439,63.564399,13.62
417900012,298.879886,20.01469,13.15
451541693,171.888601,-57.396558,13.75
257301155,128.780044,0.852571,13.11
51796937,270.985822,1.035185,13.51
135330868,230.244658,-48.170408,13.37
323968835,143.687222,-80.93422,13.83
47215035,80.52668,17.570381,13.8
295348592,223.203184,-61.044458,13.31
234073517,101.114647,4.575989,13.69
147634864,105.254181,-16.483973,13.3
153336799,120.69676,-29.291847,13.57
241201125,329.464809,-5.1564,13.56
279169017,313.866324,45.222246,13.82
216737462,295.483502,24.441871,13.74
256949088,268.421441,-30.844387,13.53
462781855,152.207649,-58.230507,13.76
385457541,137.96965,-59.012718,13.51
244980200,197.481697,-53.710708,13.66
256515888,299.365899,64.340711,13.66
138361036,293.762266,37.269884,13.63
176255016,0.393114,-7.531351,13.24
338476519,283.426438,16.083732,13.59
355237275,130.625068,-62.882556,13.78
233413513,302.238248,57.800669,13.8
253169711,194.894354,-59.139178,13.87
166275439,273.515617,13.499664,13.57
281310348,99.045693,1.657651,13.49
165500822,265.829303,56.877525,13.6
255964195,198.699157,-56.824963,13.42
383799332,135.195635,-58.590691,13.7
331031476,325.960954,59.293938,13.81
228334540,285.194087,1.071198,13.69
280490452,144.392256,-50.969884,13.53
144079288,188.249922,-36.880453,13.61
464366239,156.023627,-56.556643,13.77
42000494,302.022597,41.066522,13.88
76132511,227.219188,-32.983481,13.31
308628103,184.286224,-62.670848,13.66
373698711,26.923768,65.094455,13.08
468604939,16.872717,74.185154,13.87
356501128,150.771501,60.990496,13.13
387840566,306.376544,1.475083,13.78
250684958,32.836652,51.812465,13.26
80886802,91.430332,28.124248,13.11
298231916,225.032096,-61.107546,13.38
329697675,212.49254,-53.281346,13.52
440115699,4.867363,46.985756,13.4
100128388,292.395835,-9.80574,13.63
382047393,183.008183,-62.600253,13.78
291001220,256.55898,-61.26786,13.45
87175640,272.793876,-45.361867,13.65
133774355,291.851848,7.444132,13.33
136187489,294.288643,8.702761,13.2
22204600,269.864358,31.681835,13.51
294658624,169.602106,-67.922927,13.6
