TIC,RAJ2000,DEJ2000,Tmag
224289440,183.142531,54.436027,12.15
453978254,154.569428,-69.290724,12.75
326247759,331.542219,49.930055,12.37
236342697,242.86181,25.563758,13.01
230271870,271.900174,21.314358,12.75
375578782,307.447543,2.46214,12.52
73551067,281.3749,16.916988,12.98
158448041,203.159497,62.842471,10.89
79411022,90.302224,28.543585,12.44
349442532,250.302785,18.685365,12.47
86959051,98.839199,27.366357,11.56
250598318,272.252894,-5.760151,12.57
220411839,70.883985,-58.595157,11.22
394428207,286.959683,13.185017,13.02
183497913,299.909405,0.81933,10.4
341180251,313.705205,-64.95204,12.01
399580421,40.142339,43.322913,12.01
96962400,323.30368,12.357486,11.39
427344176,344.309405,70.746633,11.24
466068334,165.026902,-61.441697,12.87
111375650,110.623662,-31.067942,12.53
444478675,267.611508,-33.234574,9.73
430294689,332.262258,50.608808,12.4
59629605,297.214254,33.132144,12.92
76878072,87.591343,29.033881,11.74
402655839,302.542668,67.267173,10.84
383292935,181.549917,-85.546705,12.64
90456042,128.508262,-52.401997,11.72
366743368,76.791019,34.624404,12.23
66716482,199.48484,-4.758627,12.91
118334237,34.455849,27.05786,12.85
278212082,324.559514,50.686806,11.98
342292226,204.294962,-69.628734,12.46
264252142,295.70158,69.001215,12.9
273135607,297.398651,45.020796,12.73
142826086,173.551848,67.901528,9.82
437171483,141.071811,-55.65103,12.42
378075172,295.229266,21.298944,12.2
313672903,202.18881,-62.023886,12.48
370578451,226.085458,-51.100655,12.9
43331615,260.905837,22.028869,11.41
403651165,286.382107,-2.24768,9.97
273845781,233.122018,-51.182551,12.95
193558729,246.026891,45.941258,10.05
229491530,296.34257,63.938825,11.7
239718857,81.948056,34.783623,10.77
309209557,223.582035,-49.525537,12.06
31674205,47.486387,-68.145524,12.16
367166751,308.769414,28.314486,11.35
111121605,298.426025,1.155583,11.69
318850005,349.816503,58.49195,12.75
433842832,190.741979,-61.566719,12.77
333725999,80.12551,36.605922,12.75
181602709,131.738302,-41.984232,12.76
229675496,253.259814,73.825681,12.38
235544316,104.650765,6.905381,12.02
446502638,287.689891,-13.301064,12.33
258252104,268.761086,-31.643916,12.69
355975951,138.387925,-51.310345,12.71
358411347,283.130809,26.537455,12.62
203202328,304.75287,30.532107,11.58
183607235,125.864077,-37.294368,12.5
373696987,26.989589,64.590551,10.88
35846988,149.11156,-43.377235,11.01
311025334,347.553033,5.828962,12.27
333558332,12.084232,-0.489176,6.33
397009295,309.603191,29.235558,11.31
40649946,256.168431,-30.975655,13.01
138384167,151.380296,-51.633465,9.23
44533833,268.544149,15.261588,10.98
467216111,296.647733,58.929204,9.68
365980081,312.564797,51.142712,10.92
20805870,41.711213,45.079497,9.79
411553811,7.417414,19.224692,12.05
342322702,275.821611,19.923623,9.55
222608562,284.930635,11.501051,11.99
411457490,179.607724,-67.513564,12.84
93193604,129.419591,-48.036356,12.5
180173977,188.838487,-61.728787,12.96
29445056,86.480246,23.667253,13.02
43795649,265.529533,14.91698,9.56
251896439,351.718017,58.052982,13.01
469322519,268.039954,-39.071684,12.71
224624614,312.217736,20.651858,12.9
152992592,259.298104,-31.350993,10.97
387149762,102.76501,12.421547,12.64
309626033,125.814509,-64.267933,11.91
330848452,334.137244,59.391903,10.77
237092603,231.325746,24.415517,12.83
376802340,153.500323,-63.868609,11.61
208300999,244.654998,-53.982798,13.01
173978476,258.374045,-58.919843,11.58
358858962,283.802996,26.291574,10.52
60917822,226.183347,-25.927169,12.04
335486046,332.546319,62.803433,12.61
159776709,268.660392,35.894842,10.7
42200587,286.184874,33.635158,12.75
282344575,285.463217,18.442403,10.63
230267345,264.666487,18.779583,13.02
399788046,278.104992,58.488708,11.38
313951052,278.30376,-36.744471,13.25
230229514,258.959594,23.259791,13.54
84700256,97.00814,26.684795,13.61
374158907,159.878588,-48.50359,13.06
33973845,146.067083,-45.060324,13.35
72388084,296.029951,34.554065,13.06
154818955,344.538474,46.247921,13.37
239757081,86.719703,32.478148,13.63
296483158,237.951923,-39.559276,13.59
93594051,114.518349,-7.698783,13.62
150250265,94.524618,-63.32919,13.38
233427052,302.518238,57.469038,13.42
43675414,265.259943,15.193704,13.22
186140991,303.741836,47.39951,13.75
394122787,288.705199,74.081348,13.62
313372676,202.205597,-64.17676,13.55
70366294,295.080315,32.725716,13.45
64256419,111.181098,-0.109789,13.85
87925719,299.073665,30.077946,13.84
237114154,269.669467,56.014683,13.87
376056463,294.299434,22.94954,13.74
231187571,100.876086,8.795105,13.29
139839359,325.298558,-51.756945,13.12
414274052,336.840285,55.051321,13.76
236787781,283.20755,56.866165,13.05
335219623,268.324179,15.309175,13.43
132173785,119.22351,-36.327065,13.34
47896759,129.540849,-31.808472,13.58
393946398,208.44248,43.152588,13.38
349706918,283.120514,18.012351,13.55
269677693,148.234217,-62.39742,13.32
299149180,143.46652,-51.26549,13.6
363765138,265.771148,19.840901,13.61
12079149,298.262126,28.434785,13.47
348372033,121.285412,-16.425143,13.5
218167495,41.939119,14.624661,13.74
1422379962,264.834049,-33.168646,13.59
10498121,28.401658,64.430886,13.83
417904773,298.800172,19.299366,13.63
451543198,171.824987,-57.634094,13.74
257313537,343.550158,11.168531,13.21
51786869,301.057364,-3.204939,13.14
135309378,186.497746,-37.362777,13.05
323968872,143.514994,-80.97369,13.52
47187962,231.021951,-54.514064,13.51
295373509,271.64628,-67.474216,13.21
234059142,100.930956,1.301071,13.74
147618228,163.767091,-45.608015,13.66
153314214,259.536339,-34.00161,13.81
241204004,329.286291,-2.19437,13.86
279170239,313.902118,45.390624,13.61
216722980,245.650185,-50.200594,13.42
256958382,268.512797,-31.475548,13.31
462783511,152.147452,-57.998973,13.61
385457782,137.878581,-59.091372,13.67
244983510,302.358633,28.14262,13.69
256521802,300.205903,21.443354,13.36
138350240,293.707227,36.249257,13.77
176245581,121.771561,-20.14852,13.59
338476735,283.484458,16.120908,13.55
355238066,130.692265,-63.154548,13.7
233403107,302.147777,55.036147,13.36
253177786,195.040624,-59.585187,13.86
166269434,273.350486,13.087005,13.36
281336865,299.013176,24.091836,13.51
165492429,180.323088,-37.041318,13.24
255978491,14.761358,63.307565,13.43
383810462,135.337784,-55.520155,13.34
331043325,325.915985,56.383257,13.24
228277164,285.255599,5.335421,13.29
280490537,144.444519,-50.953071,13.06
144052429,119.41908,-42.914829,13.55
464366477,156.179378,-56.59609,13.15
41983066,271.791532,-4.914386,13.85
76105940,237.331288,-56.143465,13.79
308629571,184.217939,-62.810186,13.18
373704595,27.611557,64.854774,13.19
468631634,17.40421,72.298289,13.72
356507671,312.692642,46.630846,13.83
387841670,306.399522,0.538476,13.7
250706212,33.058911,52.309547,13.33
80850270,166.263828,-53.42297,13.49
298242897,224.9826,-60.149143,13.06
329709399,314.658591,47.490342,13.58
440116494,4.787589,47.779618,13.12
100127682,292.416063,-10.058529,13.58
382059023,183.067657,-61.416859,13.33
291007009,169.658692,10.450054,13.55
87159103,58.691828,56.954681,13.74
133761962,121.34688,-39.03495,13.87
136167117,317.308026,42.448013,13.72
22201632,269.73457,31.840157,13.11
294659582,169.500961,-68.152599,13.17
386174898,296.680254,18.963975,13.7
89383895,301.22717,30.986223,13.88
457804419,158.343005,-58.12206,13.83
465392301,163.362269,-61.609623,13.47
43368145,261.191352,19.839001,13.17
356057968,246.657726,19.037629,13.11
442691390,238.127239,-35.107258,13.62
229611733,277.741081,72.127875,14.08
305125669,165.659884,-56.257054,14.06
466504538,166.301816,-60.251808,14.12
117150608,319.401699,33.421502,14.01
161125159,262.075952,-31.943905,14.03
307524323,96.750774,43.863432,14.1
260352250,94.8904,-56.633948,14.14
403681426,37.155698,58.568346,14.07
464748754,157.019782,-59.577362,14.13
386206443,111.669159,-14.284667,14.26
67251845,311.73519,36.361471,14.24
145598965,132.55545,-50.072443,13.96
88132817,82.718887,43.1965,14.21
405260090,128.255353,-16.918972,14.18
394009747,261.928539,18.303756,14.23
393920926,128.355866,-35.361827,14.18
452545462,307.751537,25.487452,14.22
414578127,337.015136,55.537707,14.29
275371190,269.074984,18.649317,14.29
468885543,94.887944,69.509661,14.15
13865272,305.594034,40.296574,14.2
63206894,292.388743,45.93587,13.9
373953429,28.106882,65.040194,14.06
142837835,119.097311,-23.479429,14.02
83767830,297.707422,33.167118,14.27
256179718,276.203991,20.343847,14.21
457550536,217.597007,-51.303845,14.11
219584767,306.02315,22.328508,14.2
10045505,123.759346,39.592719,14.27
62049387,274.359892,-31.100034,13.92
453915796,225.154785,-60.973468,14.02
319666080,95.159308,18.493829,14.14
410918190,178.141833,-66.301314,14.04
285992821,123.60674,-48.350994,14.14
260353353,94.753494,-54.290896,14.01
341800578,239.329515,-65.38858,14.24
75630038,139.184449,-42.755871,14.05
149928877,162.116855,61.614163,13.92
308475549,184.078326,-61.370241,14.06
356258818,286.118291,14.718169,14.19
66806582,311.534739,36.607547,14.13
271436611,354.243685,61.229272,14.2
170084761,121.190254,-7.824646,14.16
151653287,282.845129,-11.468794,14.15
242902673,295.806843,-8.781625,14.31
334486363,330.901975,64.120311,14.12
126939843,317.054958,26.435081,14.09
9961086,111.172993,38.886556,14.02
366840380,311.688931,46.312675,14.27
425075916,330.26772,-14.287568,14.22
14042248,38.269508,62.131892,14.27
55581199,110.594865,-14.328147,13.99
1967958719,303.025677,38.576211,14.19
67425566,311.883487,39.93441,13.97
359130558,1.799453,63.782074,14.1
220140765,99.029732,7.882565,13.89
383120828,273.16708,-11.295013,14.18
208476741,208.65171,-59.63279,14.3
157100484,275.884105,16.52551,14.36
43897804,303.089009,36.103696,14.35
261070049,76.282063,46.481164,14.14
423233335,96.521475,56.339439,13.91
73201514,153.898503,-36.713044,14.06
229784999,283.635544,68.777995,14.05
470026085,331.168105,55.342101,14.01
91606467,88.517713,15.867356,13.97
319830439,289.714304,7.00165,14.34
43313476,302.821811,36.793302,14.26
146617448,124.091531,-33.293219,14.02
240178383,292.905114,46.678865,14.18
457835699,158.356412,-55.286611,14.0
3959007,12.514273,-7.091032,14.22
377799325,295.088592,19.640359,14.14
348329508,282.03178,18.100692,14.35
54277555,118.239997,-15.216963,14.34
142251239,229.039816,-47.718479,14.11
217024538,259.667573,-44.710652,13.93
100136166,292.398312,-7.2913,14.29
265532485,174.465746,-59.865208,14.0
291156348,190.739602,3.005951,13.99
512887979,268.252317,-40.754171,14.11
391095243,70.476214,42.211342,13.92
229769088,281.895133,70.733566,14.28
335027883,331.959934,61.250866,14.06
304803997,178.138454,-61.49428,14.02
366661623,76.686262,30.726644,14.17
371600942,148.227537,-66.394251,14.35
119461354,100.753191,-9.699373,14.05
264299705,295.98625,69.239616,14.2
377920457,295.144311,18.676529,14.03
453792262,199.451346,-45.456871,13.91
158365702,274.534598,22.38016,14.31
60219962,72.980893,26.895138,14.23
298052582,196.555073,81.756828,14.15
145905627,123.247901,-32.488306,14.35
192855587,222.000628,-56.812941,14.12
71286391,295.483945,35.32727,13.99
8050826,288.666976,-5.162576,13.89
646839042,41.945687,59.213346,14.06
457631456,157.947631,-59.587526,14.35
150231082,231.617064,-44.575029,14.56
46363033,133.262598,17.731993,14.57
146159655,232.666162,-53.561011,14.54
33067083,88.584648,-25.00713,14.41
318855084,349.885435,59.737971,14.38
71897396,295.810891,35.983401,14.45
188270639,237.374023,-4.908154,14.57
68267106,280.153955,33.962248,14.37
